CATEGORY,PARENT,ADVERTISER,PRODUCT,TITLE,TAGLINE,REVISION,DESCRIPTION,LANGUAGE,MEDIA TYPE,LINK,ADSCOPE ID,CORE CREATIVE ID,CREATIVE ATTRIBUTE(S),LAST PERIOD AIRED,LENGTH/SIZE,MARKET1,PROGRAM,FIRST SEEN,UNITS,DOLS
G930 Corporate Advertising NEC,Amazon.com Inc,Amazon,Amazon.com Inc : Corporate Promotion,Getting the Things Done: S. Rhoads,,,"Exterior of a warehouse is featured. Sarah Rhoads VP Amazon Global Air At Amazon we are pretty good at getting things done."" She states they are pretty good at solving problems. COVID 19 is the biggest challenge we have to face. The challenges motivated them like flying med to their employees around the world. They are doing everything they can to get what an individual may need and doing everything they can to keep the people safe.""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22778862&mtid=1&ff=1,41396443.0,22778862,Spokesperson=Y|COVID/Coronavirus Mention=Y|,2020-05-18,30,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | VOICE,2020-04-16,58,2219385.0
D561 Prescription Mental Health Medications,Sumitomo Dainippon Pharma Co Ltd,Sunovion,Latuda : Bipolar Disorder Rx,Call Doctor for Unusual Changes/Website. Number,,Text: [For resources and copay savings options] [visit] is now featured. Now LATUDA.com is featured and the number 1-855-5LATUDA.,"A girl is featured with a smiling face. Girl My mom is sad a lot."" She states that her dad says her mom is having bipolar depression. After consultation with doctor Latuda was prescribed. Latuda is the number one brand fro bipolar depression. It is proven effective for many people struggling with depression. Call doctor for unusual changes behavior or suicidal thoughts. Unusual dosage can lead to death or stroke. Call doctor if fever or stiffness occurs as it can be life threatening. There are more side effects so learn  ore from the website. Text: [PLEASE SEE OUR AD IN HEALTH MAGAZINE] Ask doctor and sign for savings. Text: [MOST PAY] [$0 - $8.50] [PER 30-TABLET] [PRESCRIPTION] LATUDA.COM""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22764830&mtid=1&ff=1,41368696.0,22764830,Price Point=Y|,2020-05-25,60,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | VOICE,2020-04-13,62,1518832.0
B121 Banking (Consumer),JP Morgan Chase & Co,Chase,Chase Bank : Consumer Mobile Banking,Banking from Home Is Easier,MAKE MORE OF WHAT'S YOURS,,"Two animated pictures are featured inside Chase Bank. F-Annc When you think of a bank you think of people in a place."" She states when you have the Chase mobile app your bank can be virtually any place. So when you get a cheque you can deposit it from the app and you can check your transactions as well as balance from the app. You can even save for emergency or pay bills. chase.com/mobile""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22778153&mtid=1&ff=1,41394920.0,22778153,Animated=Y|Mobile Apps=Y|COVID19 Related=Y|,2020-04-27,30,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | VOICE,2020-04-16,69,1486896.0
B532 Computer Software (Excl Games & Educ),Microsoft Corp,Microsoft,Microsoft Teams : Software,"Safe, Secure, Free 12",,,No Description Available,English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22816823&mtid=1&ff=1,41477886.0,22816823,Non-Attributed Creative=Y|,2020-05-25,30,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | VOICE,2020-04-26,74,1448996.0
B213 Wireless Home/Business Phone Equip & Sys,Samsung Group,Samsung,Samsung Galaxy S20 : Wireless Phones,Change Everything Around You,,,"A hand is featured holding a Samsung Galaxy S20 phone. Woman So what will Galaxy 5G really change?"" F-Annc states that more than she thinks. She notes about various features. Text: [Galaxy S20 5G Series] [Available now at] samsung.com""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22711354&mtid=1&ff=1,41248600.0,22711354,Phone: Android/Droid=Y|Service 5G=Y|,2020-04-13,30,* NATIONAL,EMPIRE | MODERN FAMILY | VOICE,2020-03-31,11,1436100.0
B111 Credit Cards,Mastercard Intl Inc,MasterCard,MasterCard : Personal Credit Card,M.Jarmon:Listen the Music,,,"Maelyn Jarmon s featured. M.Jarmon  Hey guys it's Maelyn."" She states that she is working with Mastercard and The Voice to bring one lucky card holder a priceless experience. Carmireli is featured and she was exited with surprise gift and Maelyn states that Carmeli's song will get aired in The Voice""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22885995&mtid=1&ff=1,41627590.0,22885995,Celebrity=Y|Spokesperson=Y|COVID19 Related=Y|,2020-05-18,60,* NATIONAL,VOICE,2020-05-12,2,1398200.0
B422 Automobile Insurance,Allstate Corp,Allstate,Allstate : Auto Insurance,D. Haysbert: Safe Drivers Can Save,,,"Dennis Haysbert is featured in a restaurant. D. Haysbert Hey can I get a?"" He states that safe drivers do save 40%. He states to click or call for a quote today. Text: [or call a local agent for a quote] [Visit] Allstate.com.""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22703191&mtid=1&ff=1,41224473.0,22703191,Celebrity=Y|Spokesperson=Y|,2020-05-25,30,* NATIONAL,BIG BANG THEORY | EMPIRE | MODERN FAMILY | VOICE,2020-03-28,57,1389141.0
B229 Telecom Providers/Services:Comb Copy&NEC,Facebook Inc,Facebook,Facebook Portal : Video Conferencing Service,Stay Home & Celebrate Mother's Day,,,Music & Text Only-No Words Spoken. A woman is featured watching something on a paper. Text: [It Shouldn't be possible.] [To work from home.] [And be the teacher.] [And make the playdates.] [And make the dinner.] [But right now somehow you do it.] [Thank you. Happy Mother's Day],English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22819357&mtid=1&ff=1,41485252.0,22819357,Social Media: Facebook=Y|Holiday: Mother's Day=Y|COVID19 Related=Y|,2020-05-04,15,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | VOICE,2020-04-27,88,1371623.0
G930 Corporate Advertising NEC,Amazon.com Inc,Amazon,Amazon.com Inc : Corporate Promotion,Thank You All the Frontline heroes,,,Music Only-No Words Spoken. A little girl is featured coming through her house holding a box. She starts to draw something in front of her house.A delivery boy is featured holding a box and see the drawing of the little girl which states thank you and smile to see each other.,English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22800953&mtid=1&ff=1,41440630.0,22800953,Corporate Image=Y|COVID19 Related=Y|,2020-05-11,30,* NATIONAL,BIG BANG THEORY | EMPIRE | MODERN FAMILY | VOICE,2020-04-21,31,1259722.0
B429 Insurance: Comb Copy & NEC,State Farm Mutual Auto Ins Co,State Farm,State Farm Insurance : Corporate Promotion,Be a Good Neighbor,Like a good neighbor. Sate Farm is there.,,"Logo is featured. N.Frampton What does it mean to be a good neighbor?"" Bunthy Blais states that it means to look out for each other. Jake from States farm states that's why State Farm is announcing Good Neighbor Relief Program. Melissa Vargas states that they knows that customers are driving less which means less accidents. Ashley Deaqdwyler-Jones states that Sate farm is returning $2 billion to the auto policy holders with in the period ending May 31st. Randall Schickler states that they will continue to make real time decisions to serve best for the customers. Michael Tipsord states that being a good neighbor means everything in this time. StateFarm.com""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22757846&mtid=1&ff=1,41357782.0,22757846,Spokesperson=Y|COVID19 Related=Y|,2020-05-25,30,* NATIONAL,BIG BANG THEORY | EMPIRE | MODERN FAMILY | VOICE,2020-04-10,56,1193705.0
