CATEGORY,PARENT,ADVERTISER,PRODUCT,TITLE,TAGLINE,REVISION,DESCRIPTION,LANGUAGE,MEDIA TYPE,LINK,ADSCOPE ID,CORE CREATIVE ID,CREATIVE ATTRIBUTE(S),LAST PERIOD AIRED,LENGTH/SIZE,MARKET1,PROGRAM,FIRST SEEN,UNITS,DOLS
D567 Prescription Medications NEC,Gilead Sciences,Gilead,Biktarvy : HIV Rx,Keep Loving Who You Are,LOVE WHAT'S INSIDE,,"A man is featured. M-Annc If you're living with HIV keep being you and ask your doctor about Biktarvy."" He states that Biktarvy is a complete one pill once a day treatment used for HIV in certain adults. He states it is not a cure but with one small pill Biktarvy fights HIV to help you get to and stay undetectable. Text: [D'EVA] [LIVING WITH HIV SINCE 2008] [REAL PATIENT ON BIKTARVY] He states that this is when the amount of virus is so low that it can be measure by a lab test. Text: [ZACH] He states that research shows that people who take HIV treatment everyday not longer transmit the disease through sex. Text: [NIKKI] He states about serious side-effects that can occur including kidney problem and kidney failure. He states that rare life threatening side-effects like include liver problems. Text: [HUGO] LIVING WITH HIV SINCE 1985] He states not to take Biktarvy if you take other prescription medicines. He states to tell your doctor about all your medicines and supplements you take if you are pregnant or breast feeding or if you have kidney or liver problems including Hepatitis B. He states about common side-effects are diarrhea nausea and headache. Text: [DIMITRI] [LIVING WITH HIV SINCE 2018] He states that if you are living with HIV keep loving who you are and ask your doctor to check whether Biktarvy is right for you. 1-833-BIK-INFO BIKTARVYpriceinfo.com BRIKTARVY.com""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22285557&mtid=1&ff=1,40393351.0,22285557,,2020-05-18,60,* NATIONAL,EMPIRE | VOICE,2020-01-05,11,2790100.0
"D564 Prescription Arthritis, Osteoporosis, Musculoskeletal Medications",AbbVie Inc,AbbVie,Rinvoq : Rheumatoid Arthritis Rx,Make Your Mission,,,"An old woman is featured. F-Annc Your mission stand up tomorrow to severe rheumatoid arthritis and  take it on with Rinvoq."" She states that once daily pill can dramatically improves symptoms. She mentions Rinvoq helps pain stiffness swelling  and for some Rinvoq can reduce RA Fatigue. She states with RA overactive immune system attacks joints. She states it regulates and helps stop the attack. M-Annc states tell your doctor about any infections. F-Annc states talk to your rheumatologist about Rinvoq relief. She states make it your mission. Text: [For adults which moderate] for whom methoextrete did not work well] [By prescription only] [Individual results may vary] [Do not start if you have infection and get tested for] [tuberculosis before starting and while taking RNVOQ] [Tell your doctor if you have history of blood clots] [if you have been somewhere fungal infections] [are common or if you have had hepatitis B or C] [for more information] [You could pay as little as $5 per month] 1-800-2RINVOQ RNVOQ.com""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22517598&mtid=1&ff=1,40840547.0,22517598,,2020-04-20,60,* NATIONAL,EMPIRE | MODERN FAMILY | VOICE,2020-02-18,12,2392732.0
D567 Prescription Medications NEC,Eli Lilly & Co,Eli Lilly,Emgality : Migraine Rx,Ask Your Primary Care Doctor,,,"A girl is featured along with the tag and text. F-Annc Do you push through four or more migraine days a month."" She states imagine what you can do with more migraine free days. When you're not fighting through migraine imagine the possibilities. Once monthly Emgality is a preventive treatment from migraine in adults it's specifically developed to help prevent future migraine days. With Emgality about 60% of people have the migraine days cut in half or more. Don't use if allergic to Emgality. Allergic reactions such as itching rash hypes and trouble breathing occur even days after using. Common side effects include injection site reactions. Don;t wait. Ask your primary care doctor or neurologist about Emgality today. Text: [Visit] [For pricing information] [please visit] Emgality.com lilypricinginfo.com/emgality""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22388541&mtid=1&ff=1,40589958.0,22388541,,2020-05-11,45,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | VOICE,2020-01-26,32,2016374.0
B532 Computer Software (Excl Games & Educ),Microsoft Corp,Microsoft,Microsoft Teams : Software,Teamwork Leads to Better Productivity,,,"People are featured. F-Annc We've all been here before."" She states the conference room the speaker phone the missing files. Not in the room when you not in the no. She adds this is the nice can we not. Microsoft team invites everyone you work with to work together. Be seen be heard be there when you not. Share files and your opinion. When you are ready to unleash the power of your team open team. Text: [Stay productive] [for free] microsoft.com/Teams""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22628935&mtid=1&ff=1,41075922.0,22628935,,2020-03-23,30,* NATIONAL,BIG BANG THEORY | THIS IS US | VOICE,2020-03-11,30,1748056.0
V135 Optical Goods & Services,EssilorLuxottica SA,Lenscrafters,Lenscrafters Optical,Give Special Care For Everyone,Because Sight,,"A girl is featured in front of the store. M-Annc Expertly tailored eye care and state of the yard eye exam."" He states that because everything they do at Lenscrafters for every side that makes your life special. Book your annual eye exam now. Lenscrafters.com""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22543023&mtid=1&ff=1,40899502.0,22543023,,2020-03-23,15,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | THIS IS US,2020-02-24,89,1631285.0
D561 Prescription Mental Health Medications,Otsuka Pharmaceutial Co Ltd,Otsuka,Rexulti : Depression Rx,Talk to Your Doctor,,,"A woman is featuerd. Woman These days it's easy to say I am fine."" She states everyone does it. But for her its harder. She struggle to keep up this brave face and hide her depression symptoms. F-Annc mentions many people taking antidepressants will experience symptoms. Woman notes when added to antidepressants Rexulti is proven to reduce depression symptoms. 62% more than antidepressants alone. So you can stay on your current treatment and help build on your progress. M-Annc mentions Rexulti can cause serious side effects. Elderly dementia patients have increased risk of death or stroke. Antidepressants may increase suicidal thoughts and may worsen depression adults under 25. Call your doctor if your have fever...confusion which may signal a life threatening condition or uncontrollable muscle movements which may be permanent. Increased cholesterol weight gain high blood sugar decreased white blood cells compulsive...dizziness...trouble swallowing may occur. Talk to your doctor about adding Rexulti. Text: [Pay as little as $15 for your refills]""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22428270&mtid=1&ff=1,40671423.0,22428270,Price Point=Y|,2020-05-11,60,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | VOICE,2020-02-03,10,1612150.0
D567 Prescription Medications NEC,Gilead Sciences,Gilead,Descovy : HIV Rx,Get New Prep Options,Step Up Prep Up,,"A man is featured along with Text. Man It's time to step up prep up."" Man 2 states to help keep you free from the risk of HIV. Man3 states from the makers of Truvada you can get a new Prep options. It helps lower the chances of getting HIV through sex. It's not for everyone. Descovy for Prep has not been studied in people assigned female at birth. Talk to your healthcare provider to find out if it's right for you. Woman states step up for your health and body. Step up for your one and only love or many loves. A Doctor states Descovy is the newest way to Prep. It doesn't prooven other sexually transmitted infections. So it's important to use safer sex practices and test regularly. You must be HIV negative to take Descovy for Prep. You need to test HIV immediately before and atleast every 3 months while taking it. If you think you're exposed to HIV or flu like symptoms tell your doctor right away. Serious side effects can occur including kidney problems and kidney failure. Real life threatening side effects included build up of lactic acid and liver problems. The most common side effect is Diarrhea. Tell your doctor about all the medicines and supplements you take. If you have Hepatitis B do not stop taking Descovy without talking with your doctor. Ask your doctor about the risk of HIV. It's right for you. Words are loud but actions are louder. Get help pain Descovy for Prep. Learn more at their website. Text: [Actor portayals] [You could pay as little as $0 er month.] [Restrictions apply. See Terms & Conditions.] 1-833-DESCOVY StepUpPrEPUP.com""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22395683&mtid=1&ff=1,40604557.0,22395683,Price Point=Y|,2020-04-27,90,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | VOICE,2020-01-27,16,1501960.0
"B451 Real Estate Agents, Agencies & Brokers",National Assn Of Realtors,National Assn Of Realtors,National Assn Of Realtors : Real Estate Services,Find the Right Agent,THAT'S WHO WE R,,"A couple is featured walking on the street. F-Annc Ready to own your first real home."" She mentions the road to unrenting can get a bit rocky. It takes a reliable partner to right wrong turns. That's the role of a realtor so that you can get the right guidance on your journey home. Is your agent realtor look for the R.""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22426379&mtid=1&ff=1,40667840.0,22426379,,2020-03-30,30,* NATIONAL,BIG BANG THEORY | MODERN FAMILY,2020-02-03,41,1355389.0
D566 Prescription Gastrointestinal Medications,AbbVie Inc,AbbVie,Humira : Crohns Disease Rx,Fight Crohn's Disease,REMISSION IS POSSIBLE,,"Few women are featured. Woman 1 Okay so ... magnificent miles ...."" Woman 2 states that she thought she was managing her moderate to severe Crohn's disease until she realized that something was missing. She states that her symptoms were keeping her from really being there with her sisters. She states that so she talked to her doctor and learned that Humira is for people who still have symptoms of Crohn's disease after other medications. She states that majority of people with Humira saw significant symptom relief and many achieved remission in as little as 4 weeks. F-Annc states that Humira can lower your ability to fight infections. She states about serious and sometimes fatal infections including Tuberculosis Cancer including Lymphoma have happened. She states about blood lever and nervous system problems along with serious allergic reactions or heart failure. She states to tell your doctor if you have areas of certain fungal infections or if you have TB Hepatitis B or prone to infections or have flu like symptoms or sores. She states not to start Humira if you have infections. Woman 2 states to ask your gastroenterologist about Humira. Text: [HUMIRA HAS A PROVEN TRACK RECORD] [OF BEING PRESCRIBED FOR OVER 10 YEARS] [HUMIRA is taken by injection] [Before treatment get treated for tuberculosis (TB)] [See our ad in ELLE] [Visit HUMIRAforCrohns.com or call 888-7-HUMIRA] [The majority of HUMIRA patients pay $5 or less per month] [Questions about your cost? Visit HUMIRA.com/cost] 888-7-HUMIRA HUMIRAforCrohns.com HUMIRA.com/cost""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22513407&mtid=1&ff=1,40833297.0,22513407,Price Point=Y|,2020-03-30,60,* NATIONAL,BIG BANG THEORY | EMPIRE | MODERN FAMILY | VOICE,2020-02-17,16,1309272.0
"B451 Real Estate Agents, Agencies & Brokers",National Assn Of Realtors,National Assn Of Realtors,National Assn Of Realtors : Real Estate Services,Look for thr Right One,THAT'S WHO WE R,,"People are featured sharing ideas. F-Annc Your business ideas need room to run wild."" She mentions but there is no room for air for raising the bar. The reliable partner can make a real difference thats the role of a realtor so that run your business without running the risk. IS your agent a realtor look for the R.""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22467333&mtid=1&ff=1,40849823.0,22467333,,2020-04-20,30,* NATIONAL,BIG BANG THEORY | MODERN FAMILY,2020-02-03,29,1231699.0
